Time,BC-US Actual,BC-AB Actual
2020-02-28 15:10:00,-754.5565185546875,387.0829772949219
2020-02-28 15:15:00,-797.1956787109375,422.422607421875
2020-02-28 15:20:00,-764.095703125,388.96240234375
2020-02-28 15:25:00,-790.8169555664062,410.8824462890625
2020-02-28 15:30:00,-831.5235595703125,461.5834655761719
2020-02-28 15:35:00,-841.4502563476562,448.502685546875
2020-02-28 15:40:00,-797.851806640625,438.7227478027344
2020-02-28 15:45:00,-750.4301147460938,439.063232421875
2020-02-28 15:50:00,-731.18359375,399.26239013671875
2020-02-28 15:55:00,-566.263427734375,383.7020263671875
2020-02-28 16:00:00,-641.084716796875,403.0220947265625
2020-02-28 16:05:00,-623.5777587890625,397.0436706542969
2020-02-28 16:10:00,-567.2374267578125,362.5234375
2020-02-28 16:15:00,-698.5107421875,416.7042236328125
2020-02-28 16:20:00,-709.7154541015625,401.04351806640625
2020-02-28 16:25:00,-645.3480834960938,400.3040771484375
2020-02-28 16:30:00,-661.781005859375,382.66253662109375
2020-02-28 16:35:00,-698.0352783203125,409.5635681152344
2020-02-28 16:40:00,-676.3433227539062,392.30340576171875
2020-02-28 16:45:00,-576.215087890625,412.32379150390625
2020-02-28 16:50:00,-587.4224243164062,417.52410888671875
2020-02-28 16:55:00,-532.4096069335938,410.68365478515625
2020-02-28 17:00:00,-91.95760345458984,356.74267578125
2020-02-28 17:05:00,27.92261505126953,434.48419189453125
2020-02-28 17:10:00,179.4412841796875,455.6242980957031
2020-02-28 17:15:00,273.3204345703125,437.843505859375
2020-02-28 17:20:00,281.61383056640625,442.98260498046875
2020-02-28 17:25:00,235.52188110351562,444.86358642578125
2020-02-28 17:30:00,234.95777893066406,448.6026916503906
2020-02-28 17:35:00,197.74972534179688,465.4436950683594
2020-02-28 17:40:00,198.01821899414062,430.02276611328125
2020-02-28 17:45:00,166.95263671875,443.40338134765625
2020-02-28 17:50:00,213.76290893554688,431.96307373046875
2020-02-28 17:55:00,281.9273681640625,427.9037170410156
2020-02-28 18:00:00,320.9764709472656,398.7430114746094
2020-02-28 18:05:00,308.9991760253906,457.94451904296875
2020-02-28 18:10:00,316.17974853515625,462.7644348144531
2020-02-28 18:15:00,330.5288391113281,474.1047668457031
2020-02-28 18:20:00,431.5229797363281,410.40386962890625
2020-02-28 18:25:00,407.58343505859375,428.5637512207031
2020-02-28 18:30:00,450.5965881347656,394.8438720703125
2020-02-28 18:35:00,496.4427490234375,392.8632507324219
2020-02-28 18:40:00,528.8446044921875,389.36358642578125
2020-02-28 18:45:00,492.7691345214844,381.5243225097656
2020-02-28 18:50:00,426.1211242675781,367.1038818359375
2020-02-28 18:55:00,306.58453369140625,357.6833190917969
2020-02-28 19:00:00,172.15447998046875,361.7832946777344
2020-02-28 19:05:00,216.84165954589844,362.8828125
2020-02-28 19:10:00,167.0918426513672,400.7838134765625
2020-02-28 19:15:00,119.10612487792969,374.642822265625
2020-02-28 19:20:00,195.50650024414062,374.7836608886719
2020-02-28 19:25:00,203.7149200439453,362.7232666015625
2020-02-28 19:30:00,125.04898834228516,406.8836669921875
2020-02-28 19:35:00,121.57865905761719,421.4435119628906
2020-02-28 19:40:00,105.16876220703125,412.543701171875
2020-02-28 19:45:00,-36.738555908203125,394.8236083984375
2020-02-28 19:50:00,-95.22756958007812,366.60321044921875
2020-02-28 19:55:00,-82.15211486816406,379.7834777832031
2020-02-28 20:00:00,-151.52317810058594,371.52276611328125
2020-02-28 20:05:00,-323.2088928222656,384.1829833984375
2020-02-28 20:10:00,-286.35760498046875,386.30389404296875
2020-02-28 20:15:00,-345.6678466796875,406.4039001464844
2020-02-28 20:20:00,-308.157958984375,394.9436950683594
2020-02-28 20:25:00,-257.9396667480469,371.8637390136719
2020-02-28 20:30:00,-295.30413818359375,422.50372314453125
2020-02-28 20:35:00,-304.26934814453125,417.4634094238281
2020-02-28 20:40:00,-276.5872802734375,369.4429931640625
2020-02-28 20:45:00,-316.0250244140625,385.2037048339844
2020-02-28 20:50:00,-394.45648193359375,376.26409912109375
2020-02-28 20:55:00,-566.2733764648438,384.8438415527344
2020-02-28 21:00:00,-584.5587158203125,390.76409912109375
2020-02-28 21:05:00,-614.3568725585938,371.2033996582031
2020-02-28 21:10:00,-767.5491943359375,363.3833312988281
2020-02-28 21:15:00,-882.8594360351562,365.1441955566406
2020-02-28 21:20:00,-888.438232421875,372.403564453125
2020-02-28 21:25:00,-914.7301025390625,375.6436767578125
