Date,BC-US net actual flow,BC-AB net actual flow
2020-03-19 10:45:00,158.17608642578125,581.5462036132812
2020-03-19 10:50:00,124.45594787597656,616.9464111328125
2020-03-19 10:55:00,143.56875610351562,631.786376953125
2020-03-19 11:00:00,53.46620559692383,668.9872436523438
2020-03-19 11:05:00,256.390380859375,614.1066284179688
2020-03-19 11:10:00,259.3050231933594,603.3258056640625
2020-03-19 11:15:00,285.2544860839844,592.9266967773438
2020-03-19 11:20:00,273.5478820800781,610.126220703125
2020-03-19 11:25:00,251.47865295410156,625.2867431640625
2020-03-19 11:30:00,295.3592224121094,671.6859130859375
2020-03-19 11:35:00,345.46435546875,609.4464111328125
2020-03-19 11:40:00,306.7955017089844,619.3461303710938
2020-03-19 11:45:00,398.64056396484375,592.1057739257812
2020-03-19 11:50:00,185.1064910888672,576.9053955078125
2020-03-19 11:55:00,178.73617553710938,587.7858276367188
2020-03-19 12:00:00,86.78781127929688,668.8666381835938
2020-03-19 12:05:00,172.5746307373047,577.4061279296875
2020-03-19 12:10:00,197.63104248046875,654.30712890625
2020-03-19 12:15:00,282.66107177734375,591.9656372070312
2020-03-19 12:20:00,291.2317810058594,622.306640625
2020-03-19 12:25:00,333.9024658203125,621.6068115234375
2020-03-19 12:30:00,243.51382446289062,645.9863891601562
2020-03-19 12:35:00,248.0413055419922,668.56787109375
2020-03-19 12:40:00,246.62994384765625,652.7064208984375
2020-03-19 12:45:00,232.02957153320312,668.4075317382812
2020-03-19 12:50:00,347.18927001953125,663.0071411132812
2020-03-19 12:55:00,370.7581481933594,621.5071411132812
2020-03-19 13:00:00,477.12115478515625,531.6061401367188
2020-03-19 13:05:00,476.11383056640625,549.0464477539062
2020-03-19 13:10:00,440.7511901855469,544.046630859375
2020-03-19 13:15:00,404.2834167480469,646.66748046875
2020-03-19 13:20:00,368.5160217285156,697.5075073242188
2020-03-19 13:25:00,523.5907592773438,617.0062866210938
2020-03-19 13:30:00,468.357421875,625.9461059570312
2020-03-19 13:35:00,573.0694580078125,598.3258056640625
2020-03-19 13:40:00,492.16729736328125,643.86669921875
2020-03-19 13:45:00,373.2911071777344,704.4071044921875
2020-03-19 13:50:00,499.0625305175781,664.5872192382812
2020-03-19 13:55:00,457.8951416015625,702.4069213867188
2020-03-19 14:00:00,302.4072265625,678.7659912109375
2020-03-19 14:05:00,362.63873291015625,650.88623046875
2020-03-19 14:10:00,330.7402038574219,675.1666870117188
2020-03-19 14:15:00,440.4639892578125,649.6055908203125
2020-03-19 14:20:00,293.9859924316406,684.5069580078125
2020-03-19 14:25:00,335.4684143066406,679.9268798828125
2020-03-19 14:30:00,397.2475280761719,659.4859008789062
2020-03-19 14:35:00,311.5237121582031,656.3663330078125
2020-03-19 14:40:00,285.8614501953125,676.60693359375
2020-03-19 14:45:00,349.35009765625,641.7467651367188
2020-03-19 14:50:00,465.919677734375,640.6062622070312
2020-03-19 14:55:00,511.347900390625,626.0661010742188
2020-03-19 15:00:00,430.988525390625,653.266357421875
2020-03-19 15:05:00,433.13946533203125,680.9666748046875
2020-03-19 15:10:00,346.20611572265625,731.8079833984375
2020-03-19 15:15:00,419.26397705078125,658.6865844726562
2020-03-19 15:20:00,469.8262634277344,681.326171875
2020-03-19 15:25:00,411.7541198730469,687.0464477539062
2020-03-19 15:30:00,498.64788818359375,639.0851440429688
2020-03-19 15:35:00,505.2790222167969,652.3267211914062
2020-03-19 15:40:00,421.18048095703125,679.9464111328125
2020-03-19 15:45:00,547.2595825195312,674.6068115234375
2020-03-19 15:50:00,477.7332458496094,664.0066528320312
2020-03-19 15:55:00,384.8456726074219,706.5869140625
2020-03-19 16:00:00,378.06549072265625,708.2664794921875
2020-03-19 16:05:00,521.3779296875,675.7268676757812
2020-03-19 16:10:00,569.5474853515625,657.346435546875
2020-03-19 16:15:00,623.35595703125,643.1654663085938
2020-03-19 16:20:00,608.501708984375,609.2247924804688
2020-03-19 16:25:00,550.6947631835938,639.8453979492188
2020-03-19 16:30:00,516.2533569335938,640.7261962890625
2020-03-19 16:35:00,518.463623046875,636.8259887695312
2020-03-19 16:40:00,464.410888671875,658.706298828125
2020-03-19 16:45:00,509.3424072265625,635.2658081054688
2020-03-19 16:50:00,694.8863525390625,588.9451904296875
2020-03-19 16:55:00,758.4705810546875,551.1444091796875
2020-03-19 17:00:00,803.9757080078125,503.3251647949219
2020-03-19 17:05:00,859.7138061523438,543.9651489257812
2020-03-19 17:10:00,976.1786499023438,584.705078125
2020-03-19 17:15:00,951.1618041992188,636.1862182617188
2020-03-19 17:20:00,934.9749755859375,643.5863647460938
2020-03-19 17:25:00,919.0584716796875,640.1859130859375
2020-03-19 17:30:00,950.9815673828125,592.1864013671875
2020-03-19 17:35:00,1097.7889404296875,619.4852294921875
2020-03-19 17:40:00,1047.447509765625,648.346435546875
2020-03-19 17:45:00,1079.0771484375,632.2858276367188
2020-03-19 17:50:00,1112.470947265625,605.065673828125
2020-03-19 17:55:00,1167.751953125,574.0457763671875
2020-03-19 18:00:00,1132.551513671875,564.7466430664062
2020-03-19 18:05:00,1022.41455078125,660.6077880859375
2020-03-19 18:10:00,1159.5892333984375,539.306640625
2020-03-19 18:15:00,1266.3394775390625,604.127197265625
2020-03-19 18:20:00,1135.7633056640625,626.187255859375
2020-03-19 18:25:00,1116.35009765625,595.846435546875
2020-03-19 18:30:00,1033.5870361328125,651.0270385742188
2020-03-19 18:35:00,966.2618408203125,720.7678833007812
2020-03-19 18:40:00,1037.752685546875,663.3675537109375
